unique_id,timestamp,x_shape,eval_test,model_version,model_version_note,runtime
3d6c9a52-d415-4efa-aedd-16f5a3fd633e,1591662655.9460268,"(1000, 4)","{'0.0': {'precision': 0.8074074074074075, 'recall': 0.919831223628692, 'f1-score': 0.8599605522682446, 'support': 237}, '1.0': {'precision': 0.6833333333333333, 'recall': 0.44086021505376344, 'f1-score': 0.5359477124183006, 'support': 93}, 'accuracy': 0.7848484848484848, 'macro avg': {'precision': 0.7453703703703705, 'recall': 0.6803457193412277, 'f1-score': 0.6979541323432726, 'support': 330}, 'weighted avg': {'precision': 0.7724410774410776, 'recall': 0.7848484848484848, 'f1-score': 0.7686478428559878, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:07
3415d33c-a8c0-4404-b66c-4fc5480430e6,1591677502.760147,"(1000, 4)","{'0.0': {'precision': 0.8074074074074075, 'recall': 0.919831223628692, 'f1-score': 0.8599605522682446, 'support': 237}, '1.0': {'precision': 0.6833333333333333, 'recall': 0.44086021505376344, 'f1-score': 0.5359477124183006, 'support': 93}, 'accuracy': 0.7848484848484848, 'macro avg': {'precision': 0.7453703703703705, 'recall': 0.6803457193412277, 'f1-score': 0.6979541323432726, 'support': 330}, 'weighted avg': {'precision': 0.7724410774410776, 'recall': 0.7848484848484848, 'f1-score': 0.7686478428559878, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:10
de3de1dd-c166-4764-bfe3-7759fa52d5a8,1591678983.244811,"(1000, 4)","{'0.0': {'precision': 0.8051470588235294, 'recall': 0.9240506329113924, 'f1-score': 0.8605108055009824, 'support': 237}, '1.0': {'precision': 0.6896551724137931, 'recall': 0.43010752688172044, 'f1-score': 0.5298013245033113, 'support': 93}, 'accuracy': 0.7848484848484848, 'macro avg': {'precision': 0.7474011156186613, 'recall': 0.6770790798965565, 'f1-score': 0.6951560650021469, 'support': 330}, 'weighted avg': {'precision': 0.7725993453807856, 'recall': 0.7848484848484848, 'f1-score': 0.7673108608561842, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:11
d1605bea-88c2-4fc2-88cd-cd62f18ce600,1591679042.0996792,"(1000, 4)","{'0.0': {'precision': 0.8074074074074075, 'recall': 0.919831223628692, 'f1-score': 0.8599605522682446, 'support': 237}, '1.0': {'precision': 0.6833333333333333, 'recall': 0.44086021505376344, 'f1-score': 0.5359477124183006, 'support': 93}, 'accuracy': 0.7848484848484848, 'macro avg': {'precision': 0.7453703703703705, 'recall': 0.6803457193412277, 'f1-score': 0.6979541323432726, 'support': 330}, 'weighted avg': {'precision': 0.7724410774410776, 'recall': 0.7848484848484848, 'f1-score': 0.7686478428559878, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:09
aae784ed-39e3-4529-ae58-7b0fb5c9499d,1591681200.9591074,"(1000, 4)","{'0.0': {'precision': 0.8076923076923077, 'recall': 0.8860759493670886, 'f1-score': 0.8450704225352111, 'support': 237}, '1.0': {'precision': 0.6142857142857143, 'recall': 0.46236559139784944, 'f1-score': 0.5276073619631901, 'support': 93}, 'accuracy': 0.7666666666666667, 'macro avg': {'precision': 0.710989010989011, 'recall': 0.674220770382469, 'f1-score': 0.6863388922492006, 'support': 330}, 'weighted avg': {'precision': 0.7531868131868132, 'recall': 0.7666666666666667, 'f1-score': 0.7556035600103688, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:10
19e4f0c0-52a5-48c7-8ed2-0b579006828e,1591685433.1562688,"(1000, 4)","{'0.0': {'precision': 0.8089887640449438, 'recall': 0.9113924050632911, 'f1-score': 0.8571428571428571, 'support': 237}, '1.0': {'precision': 0.6666666666666666, 'recall': 0.45161290322580644, 'f1-score': 0.5384615384615384, 'support': 93}, 'accuracy': 0.7818181818181819, 'macro avg': {'precision': 0.7378277153558053, 'recall': 0.6815026541445488, 'f1-score': 0.6978021978021978, 'support': 330}, 'weighted avg': {'precision': 0.7688798093292475, 'recall': 0.7818181818181819, 'f1-score': 0.7673326673326673, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:08
b93824be-323a-4e85-9c0b-65788a73937d,1591686024.494099,"(1000, 4)","{'0.0': {'precision': 0.8089887640449438, 'recall': 0.9113924050632911, 'f1-score': 0.8571428571428571, 'support': 237}, '1.0': {'precision': 0.6666666666666666, 'recall': 0.45161290322580644, 'f1-score': 0.5384615384615384, 'support': 93}, 'accuracy': 0.7818181818181819, 'macro avg': {'precision': 0.7378277153558053, 'recall': 0.6815026541445488, 'f1-score': 0.6978021978021978, 'support': 330}, 'weighted avg': {'precision': 0.7688798093292475, 'recall': 0.7818181818181819, 'f1-score': 0.7673326673326673, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:07
98e51e54-2993-4fc2-ba80-190c46e51f53,1591686910.3202934,"(1000, 4)","{'0.0': {'precision': 0.8093385214007782, 'recall': 0.8776371308016878, 'f1-score': 0.8421052631578947, 'support': 237}, '1.0': {'precision': 0.6027397260273972, 'recall': 0.4731182795698925, 'f1-score': 0.5301204819277109, 'support': 93}, 'accuracy': 0.7636363636363637, 'macro avg': {'precision': 0.7060391237140877, 'recall': 0.6753777051857901, 'f1-score': 0.6861128725428027, 'support': 330}, 'weighted avg': {'precision': 0.7511152245228254, 'recall': 0.7636363636363637, 'f1-score': 0.754182279356661, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:08
eb13b7ec-3a3f-4b8b-9ac6-eeb8636e2978,1591687238.7882388,"(1000, 4)","{'0.0': {'precision': 0.7934782608695652, 'recall': 0.9240506329113924, 'f1-score': 0.8538011695906433, 'support': 237}, '1.0': {'precision': 0.6666666666666666, 'recall': 0.3870967741935484, 'f1-score': 0.4897959183673469, 'support': 93}, 'accuracy': 0.7727272727272727, 'macro avg': {'precision': 0.730072463768116, 'recall': 0.6555737035524705, 'f1-score': 0.6717985439789951, 'support': 330}, 'weighted avg': {'precision': 0.7577404479578392, 'recall': 0.7727272727272727, 'f1-score': 0.7512178715186234, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:08
80117498-6b99-49d2-bccb-d156765854c4,1591687318.824505,"(1000, 4)","{'0.0': {'precision': 0.8051470588235294, 'recall': 0.9240506329113924, 'f1-score': 0.8605108055009824, 'support': 237}, '1.0': {'precision': 0.6896551724137931, 'recall': 0.43010752688172044, 'f1-score': 0.5298013245033113, 'support': 93}, 'accuracy': 0.7848484848484848, 'macro avg': {'precision': 0.7474011156186613, 'recall': 0.6770790798965565, 'f1-score': 0.6951560650021469, 'support': 330}, 'weighted avg': {'precision': 0.7725993453807856, 'recall': 0.7848484848484848, 'f1-score': 0.7673108608561842, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:08
ec69169d-33c0-4c29-a52b-8a3a6506270a,1591687538.8943913,"(1000, 4)","{'0.0': {'precision': 0.810077519379845, 'recall': 0.8818565400843882, 'f1-score': 0.8444444444444444, 'support': 237}, '1.0': {'precision': 0.6111111111111112, 'recall': 0.4731182795698925, 'f1-score': 0.5333333333333333, 'support': 93}, 'accuracy': 0.7666666666666667, 'macro avg': {'precision': 0.7105943152454781, 'recall': 0.6774874098271404, 'f1-score': 0.6888888888888889, 'support': 330}, 'weighted avg': {'precision': 0.7540051679586564, 'recall': 0.7666666666666667, 'f1-score': 0.7567676767676768, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:08
34dec901-774f-4bc4-bd00-b32eee5d88f6,1591688491.688395,"(1000, 4)","{'0.0': {'precision': 0.8021978021978022, 'recall': 0.9240506329113924, 'f1-score': 0.8588235294117648, 'support': 237}, '1.0': {'precision': 0.6842105263157895, 'recall': 0.41935483870967744, 'f1-score': 0.5200000000000001, 'support': 93}, 'accuracy': 0.7818181818181819, 'macro avg': {'precision': 0.7432041642567959, 'recall': 0.671702735810535, 'f1-score': 0.6894117647058824, 'support': 330}, 'weighted avg': {'precision': 0.7689468426310532, 'recall': 0.7818181818181819, 'f1-score': 0.763336898395722, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:08
e2e3f0ae-116e-49ad-bd55-6e60340d963f,1591689807.3135924,"(1000, 4)","{'0.0': {'precision': 0.8074074074074075, 'recall': 0.919831223628692, 'f1-score': 0.8599605522682446, 'support': 237}, '1.0': {'precision': 0.6833333333333333, 'recall': 0.44086021505376344, 'f1-score': 0.5359477124183006, 'support': 93}, 'accuracy': 0.7848484848484848, 'macro avg': {'precision': 0.7453703703703705, 'recall': 0.6803457193412277, 'f1-score': 0.6979541323432726, 'support': 330}, 'weighted avg': {'precision': 0.7724410774410776, 'recall': 0.7848484848484848, 'f1-score': 0.7686478428559878, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:11
ec8838c7-f769-49cd-97ac-a279e54dea76,1591690013.83416,"(1000, 4)","{'0.0': {'precision': 0.8074074074074075, 'recall': 0.919831223628692, 'f1-score': 0.8599605522682446, 'support': 237}, '1.0': {'precision': 0.6833333333333333, 'recall': 0.44086021505376344, 'f1-score': 0.5359477124183006, 'support': 93}, 'accuracy': 0.7848484848484848, 'macro avg': {'precision': 0.7453703703703705, 'recall': 0.6803457193412277, 'f1-score': 0.6979541323432726, 'support': 330}, 'weighted avg': {'precision': 0.7724410774410776, 'recall': 0.7848484848484848, 'f1-score': 0.7686478428559878, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:09
a29c7abd-8241-4f7d-82f9-dddb4f9bde84,1591690092.9677105,"(1000, 4)","{'0.0': {'precision': 0.8074074074074075, 'recall': 0.919831223628692, 'f1-score': 0.8599605522682446, 'support': 237}, '1.0': {'precision': 0.6833333333333333, 'recall': 0.44086021505376344, 'f1-score': 0.5359477124183006, 'support': 93}, 'accuracy': 0.7848484848484848, 'macro avg': {'precision': 0.7453703703703705, 'recall': 0.6803457193412277, 'f1-score': 0.6979541323432726, 'support': 330}, 'weighted avg': {'precision': 0.7724410774410776, 'recall': 0.7848484848484848, 'f1-score': 0.7686478428559878, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:10
6a4fd98a-5ecd-4682-944c-5769c487bab3,1591690155.8974285,"(1000, 4)","{'0.0': {'precision': 0.7992700729927007, 'recall': 0.9240506329113924, 'f1-score': 0.8571428571428572, 'support': 237}, '1.0': {'precision': 0.6785714285714286, 'recall': 0.40860215053763443, 'f1-score': 0.5100671140939598, 'support': 93}, 'accuracy': 0.7787878787878788, 'macro avg': {'precision': 0.7389207507820647, 'recall': 0.6663263917245135, 'f1-score': 0.6836049856184085, 'support': 330}, 'weighted avg': {'precision': 0.7652550004739785, 'recall': 0.7787878787878788, 'f1-score': 0.7593306022836225, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:09
41d4d595-0625-46c1-a65b-0cfa91df5b97,1591751224.9327404,"(1000, 4)","{'0.0': {'precision': 0.8074074074074075, 'recall': 0.919831223628692, 'f1-score': 0.8599605522682446, 'support': 237}, '1.0': {'precision': 0.6833333333333333, 'recall': 0.44086021505376344, 'f1-score': 0.5359477124183006, 'support': 93}, 'accuracy': 0.7848484848484848, 'macro avg': {'precision': 0.7453703703703705, 'recall': 0.6803457193412277, 'f1-score': 0.6979541323432726, 'support': 330}, 'weighted avg': {'precision': 0.7724410774410776, 'recall': 0.7848484848484848, 'f1-score': 0.7686478428559878, 'support': 330}}",0.1,SVM on AAVAIL churn,000:00:10
